URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://cihi.ca/fhir/CodeSystem/cihi-cci,3.0.1,active,"2.16.840.1.113883.6.95",CCI,Canadian Classification of Health Interventions,"CCI  (Canadian Classification of Health Interventions) was developed by CIHI to accompany ICD-10-CA. It was designed to be service-provider and service-setting neutral and can be used comprehensively throughout Canada’s health systems. CCI classifies a broad range of interventions including therapeutic and diagnostic interventions and other health care interventions, such as assistance with activities of daily living, environmental assessments and counselling.","ValueSet/v3-ActProcedureCodeCCI"
http://fhir.org/guides/who/anc-cds/CodeSystem/anc-custom-codes,0.1.0,draft,,anccustomcodes,Extended Codes CodeSystem,"Set of codes representing all concepts used in the implementation guide","ValueSet/Observationcode"
http://hl7.org/fhir/encounter-location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.263",EncounterLocationStatus,EncounterLocationStatus,"The status of the location.","ValueSet/encounter-location-status"
http://hl7.org/fhir/encounter-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.247",EncounterStatus,EncounterStatus,"Current state of the encounter.","ValueSet/encounter-status"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/sid/ndc,2.0.1,active,"2.16.840.1.113883.6.69",Ndc,National drug codes,"National drug codes","ValueSet/v3-KnowledgeSubjectObservationValue"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/recorded-sex-or-gender-type,ValueSet/v3-ObservationActContextAgeGroupType,ValueSet/v3-LogicalObservationIdentifierNamesAndCodes,ValueSet/observation-vitalsignresult,ValueSet/v3-KnowledgeSubjectObservationValue,ValueSet/v3-QualityMeasureSectionType,ValueSet/Observationcode,ValueSet/v3-immunizationForecastDate,ValueSet/v3-DocumentSectionType,ValueSet/Observation.valueCodeableConceptSpecific,ValueSet/v3-HealthQualityMeasureDocument,ValueSet/Observation.valueCodeableConcept,ValueSet/v3-LoincDocumentOntologyInternational,ValueSet/pronouns,ValueSet/v3-LOINCObservationActContextAgeDefinitionCode"
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl,3.0.0,active,"2.16.840.1.113883.3.26.1.1",NciThesaurus,NCI Thesaurus,"NCI Thesaurus NCI Thesaurus is a biomedical thesaurus created specifically to meet the needs of the cancer research community, especially those engaged in translational research NCI Thesaurus is produced by the NCI Enterprise Vocabulary Services project. The NCI Thesaurus is provided under an open content license.","ValueSet/adverse-event-clinical-research-outcomes,ValueSet/adverse-event-clinical-research-causality-relatedness,ValueSet/adverse-event-clinical-research-seriousness-criteria,ValueSet/adverse-event-clinical-research-grades"
http://nucc.org/provider-taxonomy,0.1.0,active,"2.16.840.1.113883.6.101",NuccProviderCodes,NUCC Health Care Provider Taxonomy,"The Provider Taxonomy Code List is published (released) twice a year on July 1st and January 1st. The July publication is effective for use on October 1st and the January publication is effective for use on April 1st. The time between the publication release and the effective date is considered an implementation period to allow providers, payers and vendors an opportunity to incorporate any changes into their systems. This listing includes Active codes approved for use effective April 1st, 2003, version 3.0; and codes that are New and approved for use effective October 1st, 2003, version 3.1.    It was identified that there is an IP licensure issue with the republishing of the content for this code system by HL7, so the content was removed as of the July 2016 Harmonization cycle release. This external code system content may be accessed from the web page located at http://www.nucc.org/index.php/code-sets-mainmenu-41/provider-taxonomy-mainmenu-40. Multiple formats and means of accessing the content are available from this page.  Note this code system stub has been retired; it is missing the copyright information, and has been superceded.","ValueSet/v3-AmbulanceHIPAA,ValueSet/v3-EmergencyMedicalServiceProviderHIPAA,ValueSet/v3-PharmacistHIPAA,ValueSet/v3-DentistHIPAA,ValueSet/v3-NUCCProviderCodes"
http://snomed.info/sct,0.1.0,active,"2.16.840.1.113883.6.96",SNOMED_CT_INT,SNOMED CT International Edition,"SNOMED CT is a core clinical healthcare terminology that contains concepts with unique meanings and formal logic based definitions organized into hierarchies.","ValueSet/v3-KnowledgeSubtopicObservationValue,ValueSet/device-kind,ValueSet/v3-AllergyStatus,ValueSet/condition-stage,ValueSet/referencerange-appliesto,ValueSet/encounter-reason,ValueSet/SNOMEDCTBodyStructures,ValueSet/v3-KnowledgeSubjectObservationValue,ValueSet/Observationcode,ValueSet/gender-identity,ValueSet/Observation.interpretation,ValueSet/v3-immunizationForecastStatusObservationValue,ValueSet/condition-code,ValueSet/Observation.valueCodeableConceptSpecific,ValueSet/condition-stage-type,ValueSet/v3-ObservationMeasureCountableItems,ValueSet/Observation.valueCodeableConcept,ValueSet/observation-methods,ValueSet/body-site,ValueSet/manifestation-or-symptom,ValueSet/ObservationBodySite,ValueSet/edible-substance-type,ValueSet/snomed-intl-gps,ValueSet/condition-severity"
